longitude,latitude,polygon_group,name_long
18.553214145591653,45.08158966733146,127-1-1,Croatia
17.861783481526402,45.067740383477144,127-1-1,Croatia
17.002146030351014,45.23377676043094,127-1-1,Croatia
16.534939406000206,45.21160757097772,127-1-1,Croatia
16.318156772535872,45.00412669532591,127-1-1,Croatia
15.959367303133376,45.23377676043094,127-1-1,Croatia
15.750026075918981,44.818711656262565,127-1-1,Croatia
16.23966027188453,44.35114329688571,127-1-1,Croatia
16.456442905348865,44.04123973243128,127-1-1,Croatia
16.91615644701733,43.66772247982567,127-1-1,Croatia
17.297373488034452,43.44634064388737,127-1-1,Croatia
17.674921502358984,43.02856252702361,127-1-1,Croatia
18.559999999999945,42.64999999999998,127-1-1,Croatia
18.45001688302086,42.47999224531218,127-1-1,Croatia
18.450016310304818,42.47999136002932,127-1-1,Croatia
17.509970330483327,42.849994615239154,127-1-1,Croatia
16.930005730871642,43.20999848080038,127-1-1,Croatia
16.015384555737683,43.50721548112722,127-1-1,Croatia
15.174453973052096,44.243191229827914,127-1-1,Croatia
15.376250441151797,44.31791535092208,127-1-1,Croatia
14.92030927904051,44.73848399512946,127-1-1,Croatia
14.901602410550879,45.07606028907611,127-1-1,Croatia
14.258747592839995,45.23377676043094,127-1-1,Croatia
13.952254672917036,44.80212352149687,127-1-1,Croatia
13.656975538801191,45.13693512631596,127-1-1,Croatia
13.67940311041582,45.48414907488501,127-1-1,Croatia
13.715059848697223,45.500323798192376,127-1-1,Croatia
14.411968214585414,45.46616567644746,127-1-1,Croatia
14.595109490627806,45.634940904312714,127-1-1,Croatia
14.935243767972935,45.471695054702685,127-1-1,Croatia
15.327674594797429,45.45231639259333,127-1-1,Croatia
15.323953891672405,45.73178253842768,127-1-1,Croatia
15.671529575267556,45.83415355079788,127-1-1,Croatia
15.768732944408553,46.23810822202345,127-1-1,Croatia
16.564808383864857,46.50375092221983,127-1-1,Croatia
9.59422610844635,47.52505809182027,128-1-1,Switzerland
9.632931756232978,47.34760122332999,128-1-1,Switzerland
9.479969516649021,47.102809963563374,128-1-1,Switzerland
9.932448357796659,46.92072805438296,128-1-1,Switzerland
10.44270145024663,46.89354625099743,128-1-1,Switzerland
10.363378126678612,46.48357127540986,128-1-1,Switzerland
9.922836541390382,46.31489940040919,128-1-1,Switzerland
9.182881707403055,46.44021474871698,128-1-1,Switzerland
8.966305779667806,46.03693187111119,128-1-1,Switzerland
8.489952426801324,46.005150865251686,128-1-1,Switzerland
8.31662967289438,46.16364248309086,128-1-1,Switzerland
7.7559920589598335,45.82449005795931,128-1-1,Switzerland
7.2738509456766565,45.776947740250776,128-1-1,Switzerland
6.843592970414505,45.99114655210061,128-1-1,Switzerland
6.5000997249704255,46.42967275652944,128-1-1,Switzerland
6.022609490593538,46.27298981382047,128-1-1,Switzerland
6.037388950229001,46.725778713561866,128-1-1,Switzerland
6.768713820023606,47.2877082383037,128-1-1,Switzerland
6.736571079138059,47.541801255882845,128-1-1,Switzerland
7.192202182655507,47.44976552997102,128-1-1,Switzerland
7.466759067422231,47.62058197691181,128-1-1,Switzerland
8.317301466514095,47.61357982033627,128-1-1,Switzerland
8.522611932009767,47.83082754169129,128-1-1,Switzerland
9.59422610844635,47.52505809182027,128-1-1,Switzerland
6.043073357781111,50.128051662794235,129-1-1,Luxembourg
6.242751092156993,49.90222565367873,129-1-1,Luxembourg
6.186320428094177,49.463802802114515,129-1-1,Luxembourg
5.897759230176348,49.44266714130711,129-1-1,Luxembourg
5.674051954784829,49.529483547557504,129-1-1,Luxembourg
5.782417433300907,50.09032786722122,129-1-1,Luxembourg
6.043073357781111,50.128051662794235,129-1-1,Luxembourg
6.15665815595878,50.80372101501058,130-1-1,Belgium
6.043073357781111,50.128051662794235,130-1-1,Belgium
5.782417433300907,50.09032786722122,130-1-1,Belgium
5.674051954784829,49.529483547557504,130-1-1,Belgium
4.799221632515724,49.98537303323637,130-1-1,Belgium
4.2860229834250845,49.907496649772554,130-1-1,Belgium
3.588184441755658,50.37899241800356,130-1-1,Belgium
3.1232515804256877,50.78036326761455,130-1-1,Belgium
2.658422071960274,50.796848049515745,130-1-1,Belgium
2.5135730322461427,51.14850617126183,130-1-1,Belgium
3.3149711442285366,51.345780951536085,130-1-1,Belgium
3.3150114849641596,51.34577662473805,130-1-1,Belgium
3.3149711442285366,51.34575511331991,130-1-1,Belgium
4.047071160507528,51.26725861266857,130-1-1,Belgium
4.973991326526914,51.47502370869813,130-1-1,Belgium
5.606975945670001,51.03729848896978,130-1-1,Belgium
6.15665815595878,50.80372101501058,130-1-1,Belgium
6.905139601274129,53.48216217713065,131-1-1,Netherlands
7.092053256873896,53.144043280644894,131-1-1,Netherlands
6.842869500362383,52.22844025329755,131-1-1,Netherlands
6.589396599970826,51.852029120483394,131-1-1,Netherlands
5.988658074577813,51.851615709025054,131-1-1,Netherlands
6.15665815595878,50.80372101501058,131-1-1,Netherlands
5.606975945670001,51.03729848896978,131-1-1,Netherlands
4.973991326526914,51.47502370869813,131-1-1,Netherlands
